Published Carrier,Flight Number,Origin,Destination,Departure Time,Arrival Time,Op Days,Elapsed Time,Distance (KM),Stops,Equipment,Codeshare Flts
FM,9300,SWA,PVG,805,1020,1   5  ,2:15,991,0,733,MU 9300
FM,9352,CAN,HGH,750,955,1234567,2:05,1038,0,738,MU 9352
FM,9368,SHE,PVG,1220,1455,3,2:35,1176,0,733,MU 9368
FM,9404,CTU,SHA,1940,2230,1 34 6 ,2:50,1659,0,737,MU 9404
FM,9423,SHA,CKG,1615,1900,6,2:45,1416,0,73H,MU 9423
FM,9461,PVG,WXN,650,940,1 345 7,2:50,1275,0,733,MU 9461
FM,9462,WXN,PVG,1050,1300,1 345 7,2:10,1275,0,733,MU 9462
FM,9469,YNT,HRB,1530,1725,1234567,1:55,987,0,738,MU 9469
FM,9573,YNT,DDG,1525,1640,1234567,1:15,388,0,738,MU 9573
FM,833,PVG,BKK,1210,1550,1234 6 ,4:40,2895,0,738,MU 9833
FM,867,PVG,BKI,2000,30,1 3 5 7,4:30,2863,0,73H,"MU 9867,DL 6350"
FM,9127,SHA,HET,920,1205,12,2:45,1371,0,73H,MU 9127
FM,9128,HET,SHA,1910,2155,1,2:45,1371,0,73H,MU 9128
FM,9142,BPE,PVG,940,1205,3,2:25,978,0,73H,MU 9142
FM,9162,WDS,SHA,1820,2025, 2 4 6 ,2:05,996,0,738,MU 9162
FM,9173,JNG,HRB,1340,1605, 2 4 6 ,2:25,1419,0,738,MU 9173
FM,9176,HAK,WNZ,1455,1705,1234567,2:10,1376,0,73H,MU 9176
FM,9187,PVG,SHE,1105,1325, 2 4 6 ,2:20,1176,0,738,MU 9187
FM,9194,SHE,PVG,1715,2005,3,2:50,1176,0,733,MU 9194
FM,9227,SHA,CSX,705,905,3,2:00,851,0,321,MU 9227
FM,9229,SHA,TAO,650,830,  3 5 7,1:40,570,0,73G,MU 9229
FM,9298,ZUH,SWA,1520,1620, 2 4 6 ,1:00,380,0,737,MU 9298
FM,9301,SHA,CAN,830,1055,1   567,2:25,1175,0,737,MU 9301
FM,9330,CGO,SHA,1740,1920,1234567,1:40,792,0,737,MU 9330
FM,9336,BAV,WUT,1840,1945, 2 4 6 ,1:05,335,0,738,MU 9336
FM,9354,WEH,PVG,1655,1855,34,2:00,673,0,73H,"MU 9354,DL 6346"
FM,9374,XMN,SHA,1815,2015,1 3 5 7,2:00,803,0,738,MU 9374
FM,9379,SHA,SZX,1555,1825, 2 4 6 ,2:30,1207,0,738,MU 9379
FM,9448,KWL,CGO,1930,2135,1234567,2:05,1096,0,738,MU 9448
FM,9460,KWE,PVG,710,945,1234567,2:35,1545,0,738,"MU 9460,DL 6724"
FM,9470,YNT,WNZ,2120,2320,1234567,2:00,1083,0,738,MU 9470
FM,9522,SYX,SHA,2015,2315,1 34 6 ,3:00,1867,0,738,MU 9522
FM,9528,CAN,PVG,1955,2210,1 34 6 ,2:15,1202,0,738,MU 9528
FM,9536,XMN,SHA,1520,1720,1,2:00,803,0,738,MU 9536
